,0
744,3
745,8
746,4
747,3
748,5
749,4
750,6
751,18
752,40
753,58
754,69
755,66
756,36
757,13
758,5
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,1
767,1
768,3
769,9
770,25
771,45
772,72
773,47
774,61
775,39
776,24
777,9
778,8
779,11
780,1
781,5
782,2
783,1
784,6
785,8
786,10
787,11
788,12
789,4
790,7
791,24
792,39
793,65
794,65
795,72
796,30
797,13
798,4
799,1
800,0
801,0
802,0
803,0
804,0
805,0
806,1
807,1
808,1
809,9
810,26
811,38
812,67
813,43
814,63
815,36
816,27
817,21
818,20
819,23
820,7
821,8
822,3
823,1
824,12
825,24
826,18
827,25
828,20
829,14
830,10
831,33
832,53
833,68
834,65
835,69
836,26
837,12
838,4
839,1
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,1
849,9
850,20
851,33
852,71
853,39
854,68
855,37
856,32
857,38
858,36
859,39
860,24
861,9
862,7
863,7
864,23
865,36
866,45
867,57
868,32
869,18
870,23
871,29
872,52
873,64
874,52
875,61
876,18
877,10
878,3
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,1
887,1
888,1
889,9
890,19
891,44
892,72
893,46
894,69
895,47
896,49
897,61
898,61
899,54
900,50
901,33
902,16
903,23
904,33
905,38
906,72
907,60
908,45
909,32
910,31
911,42
912,61
913,67
914,52
915,58
916,11
917,8
918,2
919,1
920,0
921,0
922,0
923,0
924,0
925,0
926,1
927,0
928,1
929,5
930,14
931,35
932,55
933,54
934,57
935,48
936,40
937,73
938,77
939,79
940,63
941,45
942,34
943,42
944,46
945,63
946,80
947,67
948,55
949,40
950,45
951,50
952,59
953,69
954,56
955,43
956,13
957,6
958,1
959,1
960,0
961,0
962,0
963,0
964,0
965,0
966,1
967,0
968,1
969,2
970,8
971,29
972,60
973,46
974,67
975,63
976,42
977,66
978,84
979,97
980,94
981,66
982,49
983,51
984,54
985,78
986,83
987,73
988,47
989,44
990,46
991,44
992,53
993,69
994,42
995,29
996,11
997,3
998,0
999,1
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,5
1011,26
1012,52
1013,56
1014,73
1015,65
1016,47
1017,48
1018,81
1019,87
1020,100
